"id","homogenea","valid_users","ronda1","ronda2","ronda3","ronda4","ronda5","ronda6","ronda7","ronda8","ronda9","ronda10"
"1","1","6","18","38","59","71","84","99","112","119","125","131"
"2","0","6","19","42","63","86","104","120","133","145","163","173"
"3","0","6","17","32","50","71","89","107","121","128","138","143"
"4","1","6","11","29","46","55","68","80","94","100","112","124"
"5","0","6","16","30","41","58","69","82","91","96","109","128"
"6","1","6","13","29","45","59","72","83","94","106","116","122"
"7","1","6","13","29","43","58","71","81","95","108","120","122"
"8","0","6","14","28","43","60","79","90","103","118","130","145"
"9","1","6","18","35","49","63","79","96","105","114","122","129"
"10","0","6","15","31","45","57","68","77","87","103","118","124"
"11","1","6","13","30","46","62","76","90","102","117","122","123"
"12","0","6","19","39","59","76","94","111","124","128","129","133"
"13","1","6","17","38","57","79","97","110","118","120","124","129"
"14","0","6","14","26","37","53","67","80","94","110","119","126"
"15","1","6","14","33","51","59","73","86","95","106","117","122"
"16","0","6","10","25","39","48","58","74","83","101","115","126"
"17","1","6","19","34","49","59","72","82","100","110","123","127"
"18","0","5","14","30","45","58","72","86","97","107","122","131"
"19","1","6","17","38","55","75","90","106","113","117","124","124"
"20","0","6","20","35","50","64","78","90","103","108","118","124"
"21","1","6","16","34","52","65","81","89","103","114","123","126"
"22","0","6","17","30","41","54","66","83","93","107","117","128"
"23","1","6","15","34","54","72","92","111","131","149","165","181"
"24","0","6","20","37","58","73","89","109","119","121","122","123"
"25","1","6","16","32","52","70","87","105","121","125","131","137"
"26","0","6","15","30","45","61","72","82","99","115","119","125"
"27","1","6","16","30","46","63","75","92","105","123","133","144"
"28","0","6","14","30","48","68","86","101","115","122","126","127"
"29","0","6","17","35","50","66","82","99","117","123","124","124"
"30","1","6","18","34","52","72","90","108","120","128","130","132"
"31","0","6","16","34","50","64","76","90","108","122","126","134"
"32","1","6","18","40","54","66","84","94","102","114","128","132"
"33","0","6","12","26","42","52","64","74","88","102","116","124"
"34","1","6","18","34","50","66","80","98","108","114","118","130"
"35","0","6","18","34","48","62","74","86","98","110","116","126"
"36","1","6","18","38","52","62","78","100","114","122","124","126"
"37","0","6","14","34","50","64","72","80","90","102","120","124"
"38","1","5","12","24","32","46","56","64","70","84","94","100"
"39","0","6","14","28","42","60","80","96","110","122","130","140"
"40","1","5","16","32","50","60","70","84","96","104","110","116"
"41","0","6","10","30","48","68","84","98","112","128","132","136"
"42","1","6","12","24","30","38","48","62","74","94","110","128"
"43","0","6","16","34","52","62","80","96","112","120","120","120"
"44","1","5","10","20","30","42","54","60","70","80","94","104"
"45","0","6","12","28","44","56","68","76","92","104","126","130"
"46","1","6","16","30","46","54","68","86","94","110","122","126"
"47","1","6","14","30","46","62","78","94","108","124","126","130"
"48","1","6","20","34","54","74","94","108","118","118","122","124"
"49","0","6","18","38","60","74","92","104","116","124","134","142"
"50","1","6","18","40","58","78","90","102","112","124","128","134"
"51","0","6","16","34","50","66","84","96","110","114","120","122"
"52","0","6","12","24","32","48","64","76","88","108","114","126"
"53","0","6","12","26","40","50","64","78","92","104","112","126"
"54","1","6","13","26","44","63","79","89","99","107","113","121"
